,userId,gender,item,rating,review,helpfulness,timestamp,category
65,10729,F,NetZero,4.0,Good service,4.0,41201,Online Stores & Services
67,10729,M,Shrek,5.0,Shrek is shrieking good fun,5.0,82101,Movies
69,10729,M,MyPoints.com,4.0,It's great!,5.0,92500,Online Stores & Services
70,10729,M,Erin Brockovich,5.0,Great Film,6.0,102500,Movies
71,10729,M,How the Grinch Stole Christmas,5.0,Put me in the Christmas Spirit,5.0,112200,Movies
213,11716,F,Perfect Storm,3.0,Not Quite Perfect,3.0,22801,Movies
217,11716,M,StartSampling.Com,2.0,They Finally Ran Out Of Slim Jims!!!,3.0,91200,Online Stores & Services
218,11716,M,eBay,3.0,Addictive-Annoying!,3.0,92000,Online Stores & Services
221,11716,M,Erin Brockovich,4.0,Pretty Woman-With A Brain,3.0,112700,Movies
222,11716,M,X-Men,4.0,They Looked Better In Spandex,5.0,112800,Movies
299,667,F,Delta Air Lines,2.0,Delta - Mediocre Airline,3.0,32700,Hotels & Travel
300,667,M,Erin Brockovich,5.0,Roberts ROCKS!,5.0,41700,Movies
301,667,F,All Advantage,3.0,It's okay,3.0,50200,Online Stores & Services
304,667,F,MyPoints.com,4.0,Woo Hoo!  Free Stuff!,5.0,51000,Online Stores & Services
305,667,F,Blue Mountain Arts eCards,5.0,Delivering Smiles 24-7,6.0,51000,Online Stores & Services
306,667,M,Taco Bell,3.0,Not Bad Once In A While,3.0,52500,Restaurants & Gourmet
313,667,F,Gladiator,3.0,I'm Not Impressed.,3.0,61500,Movies
316,667,F,Wendy's,4.0,My Best Friend is Dave's Long Lost Daughter,3.0,72500,Restaurants & Gourmet
317,667,M,Outback Steakhouse,4.0,Outback Steakhouse:  Too Right,4.0,73104,Restaurants & Gourmet
318,667,M,Scary Movie,2.0,What Happened to my Sense of Humor?,3.0,80300,Movies
320,667,F,NBC,5.0,Will &amp; Grace Deserved The Emmy!!,4.0,91200,Media
322,667,F,PayPal,4.0,Quick and Easy Payments Online,5.0,92401,Personal Finance
323,667,M,NBC,3.0,Supernatural on Days?  Not again!!!,4.0,92600,Media
326,667,F,X-Men,3.0,Where's Gambit?,3.0,113000,Movies
